데이터 수신 시간,CO2 평균값,온도 평균값,습도 평균값,CO2 설정값1,온도 설정값1,습도 설정값1,CO2 릴레이동작,난방 릴레이 동작,냉방 릴레이 동작,가습 릴레이 동작,제습 릴레이 동작,알람 릴레이 동작
2025-05-01 00:00:36,296,11.8,88.6,1200,15.0,90.0,0,1,0,1,0,1
2025-05-02 00:00:35,314,14.7,95.3,1200,15.0,90.0,0,0,0,0,1,0
2025-05-03 00:00:35,303,13.1,85.8,1200,15.0,90.0,0,1,0,1,0,1
2025-05-04 00:00:35,277,10.9,92.2,1200,15.0,90.0,0,1,0,0,1,1
2025-05-05 00:00:34,271,9.9,80.8,1200,15.0,90.0,0,1,0,1,0,1
2025-05-06 00:00:33,246,11.1,91.1,1200,15.0,90.0,0,1,0,0,0,1
2025-05-07 00:00:33,273,12.1,93.5,1200,15.0,90.0,0,1,0,0,1,1
2025-05-08 00:00:33,265,11.4,91.7,1200,15.0,90.0,0,1,0,0,1,1
2025-05-09 00:00:33,279,13.4,85.8,1200,15.0,90.0,0,1,0,1,0,1
2025-05-10 00:00:33,234,15.2,95.2,1200,15.0,90.0,0,0,0,0,1,0
2025-05-11 00:00:31,236,14.2,76.7,1200,15.0,90.0,0,1,0,1,0,1
2025-05-12 00:00:31,259,11.0,84.2,1200,15.0,90.0,0,1,0,1,0,1
2025-05-13 00:00:31,262,12.3,91.4,1200,15.0,90.0,0,1,0,0,0,1
2025-05-14 00:00:31,275,14.0,92.4,1200,15.0,90.0,0,1,0,0,1,0
2025-05-15 00:00:31,288,15.4,91.5,1200,15.0,90.0,0,0,1,0,0,1
2025-05-16 00:00:17,613,8.0,91.5,1200,8.0,90.0,0,0,0,0,0,0
2025-05-17 00:00:17,1264,9.7,96.5,1400,8.0,90.0,0,0,1,0,1,1
2025-05-18 00:00:17,922,9.4,91.9,1400,8.0,90.0,0,0,1,0,1,1
2025-05-19 00:00:17,1215,8.9,95.1,1400,8.0,90.0,0,0,0,0,1,0
2025-05-20 00:00:17,1089,8.5,90.9,1400,8.0,90.0,0,0,1,0,1,1
2025-05-21 00:00:16,1057,8.8,92.6,1400,8.0,90.0,0,0,1,0,1,1
2025-05-22 00:00:16,1062,8.3,91.2,1400,8.0,90.0,0,0,1,0,1,1
2025-05-23 00:00:16,1447,8.1,91.3,1400,8.0,90.0,0,0,1,0,1,1
2025-05-24 00:00:16,1347,8.0,90.5,1400,8.0,90.0,0,0,0,0,1,0
2025-05-25 00:00:15,1485,8.1,90.4,1400,8.0,90.0,0,0,1,0,1,0
2025-05-26 00:00:15,1306,8.1,93.3,1400,8.0,90.0,0,0,1,0,1,1
2025-05-27 00:00:14,1259,8.6,93.3,1400,8.0,90.0,0,0,1,0,1,0
2025-05-28 00:00:14,1250,8.7,94.5,1400,8.0,90.0,0,0,1,0,1,0
2025-05-29 00:00:14,1345,14.1,89.3,1400,11.0,90.0,0,0,1,0,0,1
2025-05-30 00:00:14,1322,15.5,89.9,1400,12.0,90.0,0,0,1,0,0,1
2025-05-31 00:00:13,1404,15.3,90.0,1400,11.0,90.0,1,0,1,0,0,1
2025-06-01 00:00:13,1476,13.4,92.3,1400,8.0,90.0,0,0,1,0,1,1
2025-06-02 00:00:13,1470,12.5,90.6,1400,8.0,90.0,0,0,1,0,1,1
