"데이터 수신 시간","운전 상태","운전 모드","재배 일자","CO2 평균값","온도 평균값","습도 평균값","조도 평균값","CO2_1","온도_1","습도_1","조도_1","CO2_2","온도_2","습도_2","조도_2","CO2_3","온도_3","습도_3","조도_3","CO2_4","온도_4","습도_4","조도_4","CO2 제어방식","CO2 설정값1","CO2 설정값2","온도 제어방식","온도 설정값1","온도 설정값2","습도 제어방식","습도 설정값1","습도 설정값2","조도 제어방식","조도 설정값1","조도 설정값2","CO2 릴레이동작","난방 릴레이 동작","냉방 릴레이 동작","가습 릴레이 동작","제습 릴레이 동작","조명 릴레이 동작","알람 릴레이 동작"
"2025-05-01 00:00:36","운전","단일제어","99","1137","19.1","91.2","0","1137","19.1","91.2","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","정지","정지","동작","정지","동작","정지"
"2025-05-02 00:00:35","운전","단일제어","99","1220","20.0","102.1","0","1220","20.0","102.1","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","정지","정지","정지","동작","동작","정지"
"2025-05-03 00:00:35","운전","단일제어","99","1417","19.8","99.2","0","1417","19.8","99.2","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1400","10분/10분","자동","20.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","동작","정지","정지","동작","동작","정지"
"2025-05-04 00:00:35","운전","단일제어","99","1472","19.6","101.1","0","1472","19.6","101.1","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1400","10분/10분","자동","20.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","동작","정지","정지","동작","동작","정지"
"2025-05-05 00:00:34","운전","단일제어","99","1412","20.0","96.6","0","1412","20.0","96.6","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1400","10분/10분","자동","20.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","정지","정지","정지","동작","동작","정지"
"2025-05-08 00:00:33","운전","단일제어","99","1382","19.7","99.9","0","1382","19.7","102.7","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1400","10분/10분","자동","20.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","동작","정지","정지","동작","동작","정지"
"2025-05-09 00:00:33","운전","단일제어","99","484","14.9","94.9","0","484","14.9","94.9","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1400","10분/10분","자동","20.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","동작","정지","정지","정지","동작","동작"
"2025-05-10 00:00:34","운전","단일제어","99","346","14.8","102.8","0","346","14.8","102.8","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1400","10분/10분","자동","20.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","동작","정지","정지","동작","동작","동작"
"2025-05-11 00:00:32","운전","단일제어","99","1429","21.9","92.6","0","1429","21.9","92.6","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1400","10분/10분","자동","22.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","정지","정지","동작","정지","동작","동작"
"2025-05-12 00:00:32","운전","단일제어","99","1473","21.9","96.3","0","1473","22.0","96.4","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1400","10분/10분","자동","22.0","10분/10분","자동","95.0","10분/10분","자동","9","10분/10분","정지","동작","정지","정지","동작","동작","정지"
