데이터 수신 시간,CO2 평균값,온도 평균값,습도 평균값,CO2 설정값1,온도 설정값1,습도 설정값1,CO2 릴레이동작,난방 릴레이 동작,냉방 릴레이 동작,가습 릴레이 동작,제습 릴레이 동작,알람 릴레이 동작
2025-05-01 00:00:36,1137,19.1,91.2,1200,20.0,95.0,0,0,0,1,0,0
2025-05-02 00:00:35,1220,20.0,102.1,1200,20.0,95.0,0,0,0,0,1,0
2025-05-03 00:00:35,1417,19.8,99.2,1400,20.0,95.0,0,1,0,0,1,0
2025-05-04 00:00:35,1472,19.6,101.1,1400,20.0,95.0,0,1,0,0,1,0
2025-05-05 00:00:34,1412,20.0,96.6,1400,20.0,95.0,0,0,0,0,1,0
2025-05-08 00:00:33,1382,19.7,99.9,1400,20.0,95.0,0,1,0,0,1,0
2025-05-09 00:00:33,484,14.9,94.9,1400,20.0,95.0,0,1,0,0,0,1
2025-05-10 00:00:34,346,14.8,102.8,1400,20.0,95.0,0,1,0,0,1,1
2025-05-11 00:00:32,1429,21.9,92.6,1400,22.0,95.0,0,0,0,1,0,1
2025-05-12 00:00:32,1473,21.9,96.3,1400,22.0,95.0,0,1,0,0,1,0
2025-05-13 00:00:31,393,14.0,96.8,1400,22.0,95.0,0,1,0,0,1,1
2025-05-14 00:00:31,1459,21.7,91.7,1400,22.0,95.0,1,0,0,1,0,0
2025-05-15 00:00:31,1317,21.4,95.1,1400,22.0,95.0,0,0,0,0,0,0
2025-05-16 00:00:18,977,8.0,98.0,1400,7.0,95.0,0,0,1,0,1,0
2025-05-17 00:00:18,1335,13.2,99.4,1400,13.0,95.0,0,0,0,0,1,0
2025-05-18 00:00:17,1355,16.6,98.7,1400,16.0,95.0,0,0,0,0,1,0
2025-05-19 00:00:17,1320,16.5,98.0,1400,16.0,95.0,0,0,0,0,1,0
2025-05-20 00:00:17,1214,15.0,93.6,1300,15.0,95.0,0,0,0,1,0,0
2025-05-21 00:00:17,1339,17.8,98.7,1300,17.0,95.0,0,0,0,0,1,0
2025-05-22 00:00:17,1257,16.2,98.2,1300,16.0,95.0,0,0,0,0,1,0
2025-05-23 00:00:17,1185,15.0,95.4,1300,15.0,95.0,0,0,0,0,0,0
2025-05-24 00:00:16,1256,15.2,96.3,1300,15.0,95.0,0,0,0,0,0,0
2025-05-25 00:00:16,1800,15.3,98.9,1300,14.5,95.0,1,0,0,0,1,1
