"데이터 수신 시간","운전 상태","운전 모드","재배 일자","CO2 평균값","온도 평균값","습도 평균값","조도 평균값","CO2_1","온도_1","습도_1","조도_1","CO2_2","온도_2","습도_2","조도_2","CO2_3","온도_3","습도_3","조도_3","CO2_4","온도_4","습도_4","조도_4","CO2 제어방식","CO2 설정값1","CO2 설정값2","온도 제어방식","온도 설정값1","온도 설정값2","습도 제어방식","습도 설정값1","습도 설정값2","조도 제어방식","조도 설정값1","조도 설정값2","CO2 릴레이동작","난방 릴레이 동작","냉방 릴레이 동작","가습 릴레이 동작","제습 릴레이 동작","조명 릴레이 동작","알람 릴레이 동작"
"2025-05-01 00:00:37","운전","단일제어","99","1204","19.1","96.4","0","1204","19.1","96.4","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","정지","정지","동작","동작","정지"
"2025-05-02 00:00:36","운전","단일제어","99","1081","19.3","96.8","0","1081","19.3","96.8","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","정지","정지","동작","동작","정지"
"2025-05-03 00:00:36","운전","단일제어","99","1041","19.7","88.3","0","1041","19.7","88.3","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","정지","동작","정지","동작","정지"
"2025-05-04 00:00:35","운전","단일제어","99","816","19.2","92.9","0","816","19.2","92.9","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","정지","정지","정지","동작","정지"
"2025-05-05 00:00:35","운전","단일제어","99","1169","18.6","92.5","0","1169","18.6","92.5","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","동작","정지","정지","동작","동작","동작"
"2025-05-06 00:00:35","운전","단일제어","99","920","19.2","93.7","0","920","19.2","93.7","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","정지","정지","정지","동작","정지"
"2025-05-07 00:00:35","운전","단일제어","99","1441","19.4","97.9","0","1441","19.4","97.9","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","동작","동작","정지","정지","동작","동작","정지"
"2025-05-08 00:00:34","운전","단일제어","99","431","13.1","94.8","0","431","13.1","94.8","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","동작","정지","정지","동작","동작","동작"
"2025-05-09 00:00:34","운전","단일제어","99","515","14.7","93.3","0","515","14.7","93.3","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","동작","정지","정지","동작","동작","동작"
"2025-05-10 00:00:34","운전","단일제어","99","394","15.8","97.1","0","394","15.8","97.1","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","동작","정지","정지","동작","동작","동작"
"2025-05-11 00:00:32","운전","단일제어","99","427","12.6","104.4","0","427","12.6","104.4","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","20.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","동작","정지","정지","동작","동작","동작"
"2025-05-12 00:00:32","운전","단일제어","99","410","11.6","104.0","0","410","11.6","104.0","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","22.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","동작","정지","정지","동작","동작","동작"
"2025-05-13 00:00:32","운전","단일제어","99","449","13.9","103.7","0","449","13.9","103.7","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","22.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","동작","정지","정지","동작","동작","동작"
"2025-05-14 00:00:32","운전","단일제어","99","1184","21.2","96.3","0","1185","21.2","96.2","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","22.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","동작","정지","정지","동작","동작","정지"
"2025-05-15 00:00:31","운전","단일제어","99","1310","20.1","98.7","0","1310","20.1","98.7","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","22.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","동작","동작","정지","정지","동작","동작","동작"
"2025-05-16 00:00:18","운전","단일제어","99","1272","11.0","99.2","0","1272","11.0","99.2","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","10.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","동작","정지","동작","동작","정지"
"2025-05-17 00:00:18","운전","단일제어","99","1215","13.7","99.4","0","1215","13.7","99.4","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","13.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","정지","정지","동작","동작","정지"
"2025-05-18 00:00:18","운전","단일제어","99","1286","16.9","99.5","0","1286","16.9","99.5","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","16.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","정지","정지","동작","동작","정지"
"2025-05-19 00:00:18","운전","단일제어","99","1256","16.5","99.1","0","1257","16.6","99.1","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","16.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","정지","정지","동작","동작","정지"
"2025-05-20 00:00:18","운전","단일제어","99","1267","14.9","93.8","0","1267","14.9","93.8","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","15.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","정지","정지","동작","동작","정지"
"2025-05-21 00:00:17","운전","단일제어","99","1155","17.7","98.1","0","1155","17.7","98.1","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","17.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","동작","정지","동작","동작","정지"
"2025-05-22 00:00:17","운전","단일제어","99","1217","16.1","95.4","0","1217","16.1","95.4","0","0","0.0","0.0","0","0","0.0","0.0","0","0","0.0","0.0","0","자동","1200","10분/10분","자동","16.0","10분/10분","자동","92.0","10분/10분","자동","6","10분/10분","정지","정지","동작","정지","동작","동작","정지"
